user_id,name,email,age,country
6f5a0ec9-9f61-4a93-a381-cea2a7f90480,Eugene Brown,tcortez@mitchell.com,56.0,
bd6f718c-73f9-45ba-85f2-ab2d588dfec9,Wendy Nicholson,morrisrachel@yahoo.com,35.0,Afghanistan
609c0f63-ae96-452c-aeae-1f9530342c12,Leah Thornton,troy90@ortiz.net,,Mauritania
b74507f8-e283-47e1-9e4e-6f81b71eea11,Vanessa Knapp,mary13@duke.com,,
acc6de49-c3e6-42c0-871f-587a5b696b0e,Jack Lewis,agill@clark-turner.com,,
93128cf2-ad66-40e5-92c4-6380ad1efe84,Carlos Schroeder,rebeccacampbell@hobbs.com,,Falkland Islands (Malvinas)
21f91aad-ad9c-48cc-a745-3b96a4a86b06,Marie Turner,thomas16@yahoo.com,,
eb23c000-5b84-4a4f-ae4c-2da567994dda,Ashley Cannon,johnsongeorge@nguyen-stone.info,,
376e96dc-1530-47e0-b812-84a207b067a4,Pamela Watson,rmartin@wright-gates.com,32.0,Kyrgyz Republic
772901a8-4597-42fe-b4eb-fd86c2f244b4,Teresa Berg,paul82@gmail.com,,
